,cord_uid,affiliations,location
1887,2zsl30yu,Y Sun ; Z Wang ; Y Zhang ; J Sundell,  ;   ;   ;  
1888,d3jqgj9k,John C Tan ; Becky A Miller ; †  ; Asako Tan ; Jigar J Patel ; Ian H Cheeseman ; Tim Jc Anderson ; Magnus Manske ; Gareth Maslen ; Dominic P Kwiatkowski ; Michael T Ferdig,  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;  
1889,o44dtozb,Mariola J Edelmann (Mississippi State University ; Mississippi State ; 39762 ; MS ; USA) ; Benjamin Nicholson (Progenra Inc ; 19355 ; Malvern ; PA ; USA) ; Benedikt M Kessler (University of Oxford ; OX3 7BN ; Oxford ; UK) ; Henry ,Mississippi State ; 39762 ; MS ; USA ; 19355 ; Malvern ; PA ; USA ; OX3 7BN ; Oxford ; UK ;  
1890,6xfi9jea,Jesus F Bermejo-Martin ; Ignacio Martin-Loeches ; Jordi Rello ; Andres Antón ; Raquel Almansa ; Luoling Xu ; Guillermo Lopez-Campos ; Tomás Pumarola ; Longsi Ran ; Paula Ramirez ; David Banner ; Derek Cheuk Ng ; Lorenzo Socias ; Ana Loza ; David Andaluz ; Enrique Maravi ; Maria J Gómez-Sánchez ; Mónica Gordón ; Maria C Gallegos ; Victoria Fernandez ; Sara Aldunate ; Cristobal León ; Pedro Merino ; Jesús Blanco ; Fernando Martin-Sanchez ; Lucia Rico ; David Varillas ; Veronica Iglesias ; Maria Ángeles Marcos ; Francisco Gandía ; Felipe Bobillo ; Begoña Nogueira ; Silvia Rojo ; Salvador Resino ; Carmen Castro ; Raul Ortiz De Lejarazu ; David Kelvin,  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;  
1891,zj35puwh,J Lalić ; J M Cuevas ; S F Elena,  ;   ;  
1892,i570xeyi,Dong-Jun An ; Hye-Young Jeoung ; Wooseog Jeong ; Jee-Yong Park ; Myoung-Heon Lee ; Bong-Kyun Park,  ;   ;   ;   ;   ;  
1893,2p7qrgx0,,
1894,pnmzvrd7,,
1895,kyj6etnc,Vithiagaran Gunalan ; Ali Mirazimi ; Yee-Joo Tan,  ;   ;  
1896,wfekg2wl,Ingrid Lorenz ; Bernadette Earley ; John Gilmore ; Ian Hogan ; Emer Kennedy ; Simon J More,  ;   ;   ;   ;   ;  
1897,hzh5tyoo,"Xinxia Peng ; Lisa Gralinski ; Martin T Ferris (University of North Carolina ; Chapel Hill ; North Carolina ; USA) ; Matthew B Frieman (Illumina, Inc ; Hayward ; California ; USA) ; Matthew J Thomas ; Sean Proll ; Marcus J Korth ; Jennifer R Tisoncik ; Mark Heise (University of North Carolina ; Chapel Hill ; North Carolina ; USA) ; Shujun Luo ; Gary P Schroth ; Terrence M Tumpey (University of Wisconsin-Madison ; Madison ; Wisconsin ; USA) ; Chengjun Li (University of Tokyo ; Tokyo ; Japan) ; Yoshihiro Kawaoka (University of Tokyo ; Tokyo ; Japan) ; Ralph S Baric (Vanderbilt University Medical Center) ; Michael G Katze ; Invited Editor  ; Bryan Cullen",  ;   ; Chapel Hill ; North Carolina ; USA ; Hayward ; California ; USA ;   ;   ;   ;   ; Chapel Hill ; North Carolina ; USA ;   ;   ; Madison ; Wisconsin ; USA ; Tokyo ; Japan ; Tokyo ; Japan ;   ;   ;   ;  
1898,9424op71,,
1899,qz68gtd4,Jane S Greatorex (Addenbrookes Hospital ; Cambridge ; United Kingdom) ; Paul Digard (University of Cambridge ; Cambridge ; United Kingdom) ; Martin D Curran (Addenbrookes Hospital ; Cambridge ; United Kingdom) ; Robert Moynihan (University of Cambridge ; Cambridge ; United Kingdom) ; Harrison Wensley (University of Cambridge ; Cambridge ; United Kingdom) ; Tim Wreghitt (Addenbrookes Hospital ; Cambridge ; United Kingdom) ; Harsha Varsani (Addenbrookes Hospital ; Cambridge ; United Kingdom) ; Fayna Garcia (Addenbrookes Hospital ; Cambridge ; United Kingdom) ; Joanne Enstone (University of Nottingham ; Nottingham ; United Kingdom) ; Jonathan S Nguyen-Van-Tam (University of Nottingham ; Nottingham ; United Kingdom),Cambridge ; United Kingdom ; Cambridge ; United Kingdom ; Cambridge ; United Kingdom ; Cambridge ; United Kingdom ; Cambridge ; United Kingdom ; Cambridge ; United Kingdom ; Cambridge ; United Kingdom ; Cambridge ; United Kingdom ; Nottingham ; United Kingdom ; Nottingham ; United Kingdom
1900,lzquegwc,Michele Iannuzzi ; Edoardo De Robertis ; Ornella Piazza ; Fabio Rispoli ; Giuseppe Servillo ; Rosalba Tufano,  ;   ;   ;   ;   ;  
1901,f1tpkw1o,,
1902,dxcvc8na,,
1903,r4c1sngt,Li Li (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Li Wang ; Ruijing Xiao (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Guoguo Zhu (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Yan Li (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Changxuan Liu (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Ru Yang (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Zhiqing Tang (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Jie Li (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Wei Huang (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Lang Chen (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Xiaoling Zheng (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Yuling He (Wuhan University School of Medicine ; Wuhan ; People's Republic of China) ; Jinquan Tan (Wuhan University School of Medicine ; Wuhan ; People's Republic of China),Wuhan ; People's Republic of China ;   ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China ; Wuhan ; People's Republic of China
1904,gi8oizpv,,
1905,73hw8922,D E Ehrnhoefer ; N H Skotte ; J Savill ; Ytn T N Nguyen ; S Ladha,  ;   ;   ;   ;  
1906,4e8rx2sx,Wan-Xiang Xu (Shanghai Institute of Planned Parenthood Research ; 200032 ; Shanghai ; China) ; Ya-Ping He (Shanghai Institute of Planned Parenthood Research ; 200032 ; Shanghai ; China) ; Jian Wang (Shanghai Institute of Planned Parenthood Research ; 200032 ; Shanghai ; China) ; Hai-Ping Tang (Shanghai Institute of Planned Parenthood Research ; 200032 ; Shanghai ; China) ; Hui-Juan Shi (Shanghai Institute of Planned Parenthood Research ; 200032 ; Shanghai ; China) ; Xiao-Xi Sun (Fudan University ; 200011 ; Shanghai ; China) ; Chao-Neng Ji (Fudan University ; 200433 ; Shanghai ; China) ; Shao-Hua Gu (Fudan University ; 200433 ; Shanghai ; China) ; Yi Xie (Fudan University ; 200433 ; Shanghai ; China),200032 ; Shanghai ; China ; 200032 ; Shanghai ; China ; 200032 ; Shanghai ; China ; 200032 ; Shanghai ; China ; 200032 ; Shanghai ; China ; 200011 ; Shanghai ; China ; 200433 ; Shanghai ; China ; 200433 ; Shanghai ; China ; 200433 ; Shanghai ; China
1907,0lut2w17,,
1908,ccwhf276,R Mehla ; S Bivalkar-Mehla ; A Chauhan,  ;   ;  
1909,16syz1o7,Xiao-Bo Li (Tianjin Medical University ; Tianjin ; China) ; Shu-Qing Wang (Tianjin Medical University ; Tianjin ; China) ; Wei-Ren Xu (Tianjin Institute of Pharmaceutical Research (TIPR) ; Tianjin ; China) ; Run-Ling Wang (Tianjin Medical University ; Tianjin ; China) ; Kuo-Chen Chou (Gordon Life Science Institute ; San Diego ; California),Tianjin ; China ; Tianjin ; China ; Tianjin ; China ; Tianjin ; China ; San Diego ; California
1910,bnzbppof,S E Biesold ; D Ritz ; F Gloza-Rausch ; R Wollny ; J F Drexler,  ;   ;   ;   ;  
1911,36gbl7tu,K Mori ; T Haruyama ; K Nagata,  ;   ;  
1912,ohmq02qc,,
1913,71yhaphj,M Frieman ; D Basu ; K Matthews ; J Taylor ; G Jones,  ;   ;   ;   ;  
1914,0r1b44id,,
1915,tibu8530,V C Chu ; S Bhattacharya ; A Nomoto ; J Lin ; S K Zaidi,  ;   ;   ;   ;  
1916,v1p4ut66,,
1917,kmwncmq8,"Isabel Sola (CNB; CSiC ; Cantoblanco, Madrid ; Spain) ; Pedro A Mateos-Gomez (CNB; CSiC ; Cantoblanco, Madrid ; Spain) ; Fernando Almazan (CNB; CSiC ; Cantoblanco, Madrid ; Spain) ; Sonia Zuñiga (CNB; CSiC ; Cantoblanco, Madrid ; Spain) ; Luis Enjuanes (CNB; CSiC ; Cantoblanco, Madrid ; Spain)","Cantoblanco, Madrid ; Spain ; Cantoblanco, Madrid ; Spain ; Cantoblanco, Madrid ; Spain ; Cantoblanco, Madrid ; Spain ; Cantoblanco, Madrid ; Spain"
1918,iu3dg7y1,Zhenghe Li (University of Kentucky ; Lexington ; KY ; USA) ; Peter D Nagy (University of Kentucky ; Lexington ; KY ; USA),Lexington ; KY ; USA ; Lexington ; KY ; USA
1919,7jnogabw,Barbara Holzer ; Siddharth Bakshi ; Anne Bridgen (University of Ulster ; Coleraine ; County Londonderry ; United Kingdom) ; Michael D Baron ; Volker Thiel ; Kantonal Hospital ; St Gallen,  ;   ; Coleraine ; County Londonderry ; United Kingdom ;   ;   ;   ;  
1920,auwm2qj0,N Clementi ; De Marco ; D Mancini ; N Solforosi ; L J Moreno ; G J ,  ;   ;   ;   ;   ;  
1921,9a56rr1j,"Hilda Montero (Col. Industrial Ánimas ; 91190 ; Xalapa, Veracruz ; México) ; Vicenta Trujillo-Alonso (Universidad Nacional Autónoma de México ; Av. Universidad 2001 ; 62210 ; Cuernavaca, Morelos ; México)","91190 ; Xalapa, Veracruz ; México ; Av. Universidad 2001 ; 62210 ; Cuernavaca, Morelos ; México"
1922,qi9dtaow,"Sabo Wada Dutse (Universiti Putra Malaysia ; 43400 UPM ; Serdang, Selangor ; Malaysia) ; Nor Azah Yusof (Universiti Putra Malaysia ; 43400 UPM ; Serdang, Selangor ; Malaysia)","43400 UPM ; Serdang, Selangor ; Malaysia ; 43400 UPM ; Serdang, Selangor ; Malaysia"
1923,ojosqwwc,Luis G Bermúdez-Humarán ; Pascale Kharrat ; Jean-Marc Chatel ; Philippe Langella,  ;   ;   ;  
1924,5uzp3l0r,Cé Line Gommet (Institut Pasteur ; Paris ; France) ;  Agnè S Billecocq (Institut Pasteur ; Paris ; France) ; Gré Gory Jouvion (Institut Pasteur ; Paris ; France) ; Milena Hasan (Institut Pasteur ; Paris ; France) ; Tâ Nia Zaverucha Do Valle (Institut Pasteur ; Paris ; France) ; Laurent Guillemot (Institut Pasteur ; Paris ; France) ; Charlè Ne Blanchet (Institut Pasteur ; Paris ; France) ; Nico Van Rooijen (Vrije Universiteit Medical Center ; Amsterdam ; The Netherlands) ; Xavier Montagutelli (Institut Pasteur ; Paris ; France) ; Michè Le Bouloy (Institut Pasteur ; Paris ; France) ; Jean-Jacques Panthier (Institut Pasteur ; Paris ; France),Paris ; France ; Paris ; France ; Paris ; France ; Paris ; France ; Paris ; France ; Paris ; France ; Paris ; France ; Amsterdam ; The Netherlands ; Paris ; France ; Paris ; France ; Paris ; France
1925,j0v0psyq,,
1926,0vke9lch,,
1927,g2pb02vx,Simone Peletto (Liguria and Valle d'Aosta ; 10154 ; Turin ; M.G.M. ; Italy) ; Simone Bertuzzi (Liguria and Valle d'Aosta ; 10154 ; Turin ; M.G.M. ; Italy) ; Chiara Campanella (Liguria and Valle d'Aosta ; 10154 ; Turin ; M.G.M. ; Italy) ; Paola Modesto (Liguria and Valle d'Aosta ; 10154 ; Turin ; M.G.M. ; Italy) ; Maria Grazia Maniaci (Liguria and Valle d'Aosta ; 10154 ; Turin ; M.G.M. ; Italy) ; Claudio Bellino (University of Turin ; 10095 ; Grugliasco ; Italy) ; Dario Ariello (Azienda Sanitaria Locale TO3 ; Sanità Animale ; 10098 ; Rivoli ; Italy) ; Antonio Quasso (Azienda Sanitaria Locale AT ; Sanità Animale ; 14100 ; Asti ; Italy) ; Maria Caramelli (Liguria and Valle d'Aosta ; 10154 ; Turin ; M.G.M. ; Italy) ; Pier Luigi Acutis (Liguria and Valle d'Aosta ; 10154 ; Turin ; M.G.M. ; Italy),10154 ; Turin ; M.G.M. ; Italy ; 10154 ; Turin ; M.G.M. ; Italy ; 10154 ; Turin ; M.G.M. ; Italy ; 10154 ; Turin ; M.G.M. ; Italy ; 10154 ; Turin ; M.G.M. ; Italy ; 10095 ; Grugliasco ; Italy ; Sanità Animale ; 10098 ; Rivoli ; Italy ; Sanità Animale ; 14100 ; Asti ; Italy ; 10154 ; Turin ; M.G.M. ; Italy ; 10154 ; Turin ; M.G.M. ; Italy
1928,01nuj0lk,Luisa Barzon (University of Padova ; I-35121 ; Padova ; Italy) ; Enrico Lavezzo (University of Padova ; I-35121 ; Padova ; Italy) ; Valentina Militello (University of Padova ; I-35121 ; Padova ; Italy) ; Stefano Toppo (University of Padova ; I-35121 ; Padova ; Italy) ; Giorgio Palù (University of Padova ; I-35121 ; Padova ; Italy),I-35121 ; Padova ; Italy ; I-35121 ; Padova ; Italy ; I-35121 ; Padova ; Italy ; I-35121 ; Padova ; Italy ; I-35121 ; Padova ; Italy
1929,7njgrzzb,Nora Mcfadden (Imperial College London ; London ; United Kingdom) ; Dalan Bailey (Imperial College London ; London ; United Kingdom) ; Guia Carrara (Imperial College London ; London ; United Kingdom) ; Alicia Benson (University of Texas Southwestern Medical Center at Dallas ; Dallas ; Texas ; United States of America) ; Yasmin Chaudhry (Imperial College London ; London ; United Kingdom) ; Amita Shortland (University of Cambridge ; Cambridge ; United Kingdom) ; Jonathan Heeney (University of Cambridge ; Cambridge ; United Kingdom) ; Felix Yarovinsky (University of Texas Southwestern Medical Center at Dallas ; Dallas ; Texas ; United States of America) ; Peter Simmonds (University of Edinburgh ; Edinburgh ; United Kingdom) ; Andrew Macdonald (University of Leeds ; Leeds ; United Kingdom) ; Ian Goodfellow (Imperial College London ; London ; United Kingdom),London ; United Kingdom ; London ; United Kingdom ; London ; United Kingdom ; Dallas ; Texas ; United States of America ; London ; United Kingdom ; Cambridge ; United Kingdom ; Cambridge ; United Kingdom ; Dallas ; Texas ; United States of America ; Edinburgh ; United Kingdom ; Leeds ; United Kingdom ; London ; United Kingdom
1930,t02nd2ut,K A Tsetsarkin ; S C Weaver,  ;  
1931,d4ok8wxs,P A Cimino ; B L Nicholson ; B Wu ; W Xu ; K A White,  ;   ;   ;   ;  
1932,staq8byl,,
1933,ipvrc5we,"Yoshiko Michimae (Dainippon Sumitomo Pharma Co., Ltd ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan) ; Shin-Ichi Mikami (Dainippon Sumitomo Pharma Co., Ltd ; 1-5-51 Ebie, Fukushima-ku ; 553-0001 ; Osaka ; Japan) ; Kazuo Okimoto (Dainippon Sumitomo Pharma Co., Ltd ; 33-94 Enoki-cho, Ltd., 3-1-98 Kasugade-naka, Konohana-ku ; 564-0053, 554-0022 ; Suita, Osaka ; Osaka ; Japan, Japan) ; Kaoru Toyosawa (Dainippon Sumitomo Pharma Co., Ltd ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan) ; Izumi Matsumoto (Dainippon Sumitomo Pharma Co., Ltd ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan) ; Mami Kouchi (Dainippon Sumitomo Pharma Co., Ltd ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan) ; Takatoshi Koujitani (Dainippon Sumitomo Pharma Co., Ltd ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan) ; Tadashi Inoue (Dainippon Sumitomo Pharma Co., Ltd ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan) ; Takaki Seki (Dainippon Sumitomo Pharma Co., Ltd ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan)","3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan ; 1-5-51 Ebie, Fukushima-ku ; 553-0001 ; Osaka ; Japan ; 33-94 Enoki-cho, Ltd., 3-1-98 Kasugade-naka, Konohana-ku ; 564-0053, 554-0022 ; Suita, Osaka ; Osaka ; Japan, Japan ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan ; 3-1-98 Kasugade-naka, Konohana-ku ; 554-0022 ; Osaka ; Japan"
1934,e17qi1v2,Anil Raj (Columbia University ; New York ; New York) ; Michael Dewar (Columbia University ; New York ; New York) ; Gustavo Palacios (Columbia University ; New York ; New York) ; Raul Rabadan (Columbia University College of Physicians and Surgeons ; New York ; New York) ; Christopher H Wiggins (Columbia University ; New York ; New York ; United States of America),New York ; New York ; New York ; New York ; New York ; New York ; New York ; New York ; New York ; New York ; United States of America
1935,3m0dyfsk,J Hu ; J Zhang ; W Zhao ; Y Zhang ; L Zhang,  ;   ;   ;   ;  
1936,96w28ygp,Tadanobu Takahashi (University of Shizuoka ; 422-8526 ; Shizuoka ; Japan) ; Takashi Suzuki (University of Shizuoka ; 422-8526 ; Shizuoka ; Japan),422-8526 ; Shizuoka ; Japan ; 422-8526 ; Shizuoka ; Japan
1937,d3p9nbgq,Ahmed Lasfar (University Hospital Cancer Center ; 205 South Orange Avenue ; 07103 ; Newark ; NJ ; USA) ; Walid Abushahba (The Cancer Institute of New Jersey ; 195 Little Albany Street ; 08903 ; New Brunswick ; NJ ; USA) ; Murugabaskar Balan (The Cancer Institute of New Jersey ; 195 Little Albany Street ; 08903 ; New Brunswick ; NJ ; USA) ; Karine A Cohen-Solal (The Cancer Institute of New Jersey ; 195 Little Albany Street ; 08903 ; New Brunswick ; NJ ; USA),205 South Orange Avenue ; 07103 ; Newark ; NJ ; USA ; 195 Little Albany Street ; 08903 ; New Brunswick ; NJ ; USA ; 195 Little Albany Street ; 08903 ; New Brunswick ; NJ ; USA ; 195 Little Albany Street ; 08903 ; New Brunswick ; NJ ; USA
1938,wp4rch6v,Shyi-Jou Chen (National Defense Medical Center ; 114 ; Taipei ; Taiwan) ; Yen-Ling Wang (Chang Gung Memorial Hospital ; Linkou) ; Hueng-Chuen Fan (National Defense Medical Center ; 114 ; Taipei ; Taiwan) ; Wen-Tsung Lo (National Defense Medical Center ; 114 ; Taipei ; Taiwan) ; Chih-Chien Wang (National Defense Medical Center ; 114 ; Taipei ; Taiwan) ; Huey-Kang Sytwu (National Defense Medical Center ; 114 ; Taipei ; Taiwan) ; Philip Alex,114 ; Taipei ; Taiwan ; Linkou ; 114 ; Taipei ; Taiwan ; 114 ; Taipei ; Taiwan ; 114 ; Taipei ; Taiwan ; 114 ; Taipei ; Taiwan ;  
1939,54va9e5p,Chieh-Fan Chen (Kaohsiung Municipal United Hospital ; 80457 ; Kaohsiung ; Taiwan) ; Wen-Hsien Ho (Kaohsiung Medical University ; 80708 ; Kaohsiung ; Taiwan) ; Huei-Yin Chou (Meiho University ; 91202 ; Pingtung ; Taiwan) ; Shu-Mei Yang (Kaohsiung Municipal United Hospital ; 80457 ; Kaohsiung ; Taiwan) ; I-Te Chen (Kaohsiung Medical University ; 80708 ; Kaohsiung ; Taiwan) ; Hon-Yi Shi (Kaohsiung Medical University ; 80708 ; Kaohsiung ; Taiwan),80457 ; Kaohsiung ; Taiwan ; 80708 ; Kaohsiung ; Taiwan ; 91202 ; Pingtung ; Taiwan ; 80457 ; Kaohsiung ; Taiwan ; 80708 ; Kaohsiung ; Taiwan ; 80708 ; Kaohsiung ; Taiwan
1940,1x3n5job,"Panisadee Avirutnan (Mahidol University ; Bangkok-noi, Bangkok ; Thailand) ; Richard E Hauhart (Mahidol University ; Bangkok-noi, Bangkok ; Thailand) ; Mary A Marovich (University of Copenhagen ; Rigshospitalet, Copenhagen ; Denmark) ; Peter Garred ; John P Atkinson (Mahidol University ; Bangkok-noi, Bangkok ; Thailand) ; Michael S Diamond (Mahidol University ; Bangkok-noi, Bangkok ; Thailand) ; Michael Buchmeier","Bangkok-noi, Bangkok ; Thailand ; Bangkok-noi, Bangkok ; Thailand ; Rigshospitalet, Copenhagen ; Denmark ;   ; Bangkok-noi, Bangkok ; Thailand ; Bangkok-noi, Bangkok ; Thailand ;  "
1941,cmiegygs,P Riordan ; R J Delahay ; C Cheeseman ; P J Johnson ; D W Macdonald,  ;   ;   ;   ;  
1942,tkfozwpf,,
1943,ojhk5opy,V Tasic ; A M Hynes ; K Kitamura ; H I Cheong ; V J Lozanovski,  ;   ;   ;   ;  
1944,5y9kfyk9,Man To Ling ; Wenwei Tu ; Yan Han ; Huawei Mao ; Wai Po Chong ; Jing Guan ; Ming Liu (Guangzhou Medical College ; China;) ; Kwok Tai Lam ; Helen K W Law ; J S Malik Peiris (Hong Kong Special Administrative Region) ; K Takahashi (Harvard Medical School ; Boston) ; Yu Lung Lau,  ;   ;   ;   ;   ;   ; China; ;   ;   ;   ; Boston ;  
1945,v3q9l0r4,Robert C Spear (University of California ; 94720-7360 ; Berkeley ; CA ; USA),94720-7360 ; Berkeley ; CA ; USA
1946,4i56gcy8,Jingtao Lu (Michigan State University ; 48824 ; East Lansing ; Michigan) ; † A Daniel Jones (Michigan State University ; 48824 ; East Lansing ; Michigan) ; Jack R Harkema (Michigan State University ; 48824 ; East Lansing ; Michigan) ; Robert A Roth (Michigan State University ; 48824 ; East Lansing ; Michigan) ; Patricia E Ganey (Michigan State University ; 48824 ; East Lansing ; Michigan),48824 ; East Lansing ; Michigan ; 48824 ; East Lansing ; Michigan ; 48824 ; East Lansing ; Michigan ; 48824 ; East Lansing ; Michigan ; 48824 ; East Lansing ; Michigan
1947,chj07xz6,,
1948,48ym7eti,Brett E Pickett (University of Texas Southwestern Medical Center ; 75390 ; Dallas ; TX) ; Eva L Sadat (University of Texas Southwestern Medical Center ; 75390 ; Dallas ; TX) ; Yun Zhang (University of Texas Southwestern Medical Center ; 75390 ; Dallas ; TX) ; Jyothi M Noronha (University of Texas Southwestern Medical Center ; 75390 ; Dallas ; TX) ; R Burke Squires (University of Texas Southwestern Medical Center ; 75390 ; Dallas ; TX) ; Victoria Hunt (University of Texas Southwestern Medical Center ; 75390 ; Dallas ; TX) ; Mengya Liu (Southern Methodist University ; 75275 ; Dallas ; TX) ; Sanjeev Kumar (Northrop Grumman Health IT Systems ; 20850 ; Rockville ; MD) ; Sam Zaremba (Northrop Grumman Health IT Systems ; 20850 ; Rockville ; MD) ; Zhiping Gu (Northrop Grumman Health IT Systems ; 20850 ; Rockville ; MD) ; Liwei Zhou (Northrop Grumman Health IT Systems ; 20850 ; Rockville ; MD) ; Christopher N Larson (Vecna Technologies ; 20770 ; Greenbelt ; MD) ; Jonathan Dietrich (Northrop Grumman Health IT Systems ; 20850 ; Rockville ; MD) ; Edward B Klem (Northrop Grumman Health IT Systems ; 20850 ; Rockville ; MD) ; Richard H Scheuermann (University of Texas Southwestern Medical Center ; 75390 ; Dallas ; TX),75390 ; Dallas ; TX ; 75390 ; Dallas ; TX ; 75390 ; Dallas ; TX ; 75390 ; Dallas ; TX ; 75390 ; Dallas ; TX ; 75390 ; Dallas ; TX ; 75275 ; Dallas ; TX ; 20850 ; Rockville ; MD ; 20850 ; Rockville ; MD ; 20850 ; Rockville ; MD ; 20850 ; Rockville ; MD ; 20770 ; Greenbelt ; MD ; 20850 ; Rockville ; MD ; 20850 ; Rockville ; MD ; 75390 ; Dallas ; TX
1949,l8tx7tyy,Nishant Thakur (Council of Scientific and Industrial Research (CSIR) ; Sector 39-A ; Chandigarh-160036 ; India) ; Abid Qureshi (Council of Scientific and Industrial Research (CSIR) ; Sector 39-A ; Chandigarh-160036 ; India) ; Manoj Kumar (Council of Scientific and Industrial Research (CSIR) ; Sector 39-A ; Chandigarh-160036 ; India),Sector 39-A ; Chandigarh-160036 ; India ; Sector 39-A ; Chandigarh-160036 ; India ; Sector 39-A ; Chandigarh-160036 ; India
1950,ppzxvykb,,
1951,7ip36gt1,M Khatri ; Y M Saif,  ;  
1952,d93d3mds,S-S Chang ; H-J Huang ; Cy-C Chen,  ;   ;  
1953,7pyuy1os,,
1954,u36lb44w,,
1955,9ntgqyhw,Kevin S Mcloughlin, 
1956,e18licyc,Jesper Tholstrup (University of Copenhagen ; Ole Maaløes vej 5 ; DK-2200 ; Copenhagen) ; Lene B Oddershede (Niels Bohr Institute ; Blegdamsvej 17) ; Michael A Sørensen (University of Copenhagen ; Ole Maaløes vej 5 ; DK-2200 ; Copenhagen),Ole Maaløes vej 5 ; DK-2200 ; Copenhagen ; Blegdamsvej 17 ; Ole Maaløes vej 5 ; DK-2200 ; Copenhagen
1957,0ewu7e1c,"Marta Canuti (University of Amsterdam ; Amsterdam ; The Netherlands) ; Anna Maria Eis-Huebinger (University of Bonn Medical Centre ; Bonn, Germany) ; Martin Deijs (University of Amsterdam ; Amsterdam ; The Netherlands) ; Michel De Vries (University of Amsterdam ; Amsterdam ; The Netherlands) ; Jan Felix Drexler (University of Bonn Medical Centre ; Bonn, Germany) ; Samuel K Oppong (Kwame Nkrumah University of Science and Technology ; Kumasi ; Ghana) ; Marcel A Mü Ller (University of Bonn Medical Centre ; Bonn, Germany) ; Stefan M Klose (University of Bonn Medical Centre ; Bonn, Germany) ; Nele Wellinghausen (Ravensburg, Germany) ; Veronika M Cottontail (University of Ulm ; Ulm, Germany) ; Elisabeth K V Kalko (University of Ulm ; Ulm, Germany) ; Christian Drosten (University of Bonn Medical Centre ; Bonn, Germany) ; Lia Van Der Hoek (University of Amsterdam ; Amsterdam ; The Netherlands)","Amsterdam ; The Netherlands ; Bonn, Germany ; Amsterdam ; The Netherlands ; Amsterdam ; The Netherlands ; Bonn, Germany ; Kumasi ; Ghana ; Bonn, Germany ; Bonn, Germany ; Ravensburg, Germany ; Ulm, Germany ; Ulm, Germany ; Bonn, Germany ; Amsterdam ; The Netherlands"
1958,v4op73hf,,
1959,1z4vbldd,"Kristin Mü Hldorfer (Leibniz Institute for Zoo and Wildlife Research ; Berlin, Germany) ; Stephanie Speck (Bundeswehr Institute of Microbiology ; Munich, Germany) ; Andreas Kurth (Robert Koch Institute ; Berlin, Germany) ; René Lesnik (Robert Koch Institute ; Berlin, Germany) ; Conrad Freuling (Friedrich-Loeffler-Institute ; Wusterhausen ; Germany) ; Thomas Mü Ller (Friedrich-Loeffler-Institute ; Wusterhausen ; Germany) ; Stephanie Kramer-Schadt (Leibniz Institute for Zoo and Wildlife Research ; Berlin, Germany) ; Gudrun Wibbelt (Leibniz Institute for Zoo and Wildlife Research ; Berlin, Germany)","Berlin, Germany ; Munich, Germany ; Berlin, Germany ; Berlin, Germany ; Wusterhausen ; Germany ; Wusterhausen ; Germany ; Berlin, Germany ; Berlin, Germany"
1960,pne9qolr,Annalee Yassi ; Elizabeth A Bryce ; Jaime Breilh ; Marie-Claude Lavoie ; Lindiwe Ndelu ; Karen Lockhart ; Jerry Spiegel,  ;   ;   ;   ;   ;   ;  
1961,0mn1gbll,,
